팀명,경기날짜,결과,이름,공격종합_성공률,오픈_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,디그_시도,디그_성공,세트_시도,세트_성공,블로킹_시도,블로킹_성공,범실_범실,포지션,득점점유율,스타팅멤버
현대캐피탈,2017-10-14,1,안드레아스,61.76,60.0,75.0,0.0,53.33,0.0,6,4,2,0,12,2,10,L,0.3382352941176471,1
현대캐피탈,2017-10-14,1,문성민,53.13,45.45,46.15,0.0,71.43,0.25,8,5,2,1,7,0,7,R,0.2647058823529412,1
현대캐피탈,2017-10-14,1,신영석,50.0,50.0,0.0,50.0,0.0,0.25,5,5,4,1,11,5,1,C,0.1470588235294117,1
현대캐피탈,2017-10-14,1,김재휘,50.0,0.0,0.0,50.0,0.0,0.25,3,2,1,1,10,2,5,C,0.1029411764705882,1
현대캐피탈,2017-10-14,1,이시우,75.0,0.0,0.0,0.0,100.0,0.25,5,3,3,2,1,0,4,L,0.1029411764705882,0
현대캐피탈,2017-10-14,1,박주형,50.0,33.33,0.0,0.0,100.0,0.0,8,4,1,0,0,0,0,L,0.0294117647058823,1
현대캐피탈,2017-10-14,1,노재욱,0.0,0.0,0.0,0.0,0.0,0.0,9,5,72,43,6,1,0,S,0.0147058823529411,1
현대캐피탈,2017-10-14,1,여오현,0.0,0.0,0.0,0.0,0.0,0.0,13,12,11,1,0,0,1,Li,0.0,0
대한항공,2017-10-14,0,가스파리니,52.17,46.15,42.86,0.0,58.82,0.5,6,5,0,0,9,0,11,R,0.4,1
대한항공,2017-10-14,0,곽승석,50.0,57.14,100.0,0.0,16.67,0.25,8,7,1,0,5,1,3,L,0.1538461538461538,1
대한항공,2017-10-14,0,정지석,36.36,22.22,60.0,0.0,42.86,0.0,11,8,6,3,6,1,7,L,0.1384615384615384,1
대한항공,2017-10-14,0,진상헌,71.43,100.0,0.0,66.67,0.0,0.25,3,2,0,0,4,0,3,C,0.0923076923076923,1
대한항공,2017-10-14,0,진성태,71.43,0.0,0.0,71.43,0.0,0.0,4,2,0,0,8,1,3,C,0.0923076923076923,0
대한항공,2017-10-14,0,조재영,60.0,0.0,0.0,60.0,0.0,0.0,5,4,0,0,7,1,3,C,0.0615384615384615,1
대한항공,2017-10-14,0,한선수,100.0,100.0,0.0,0.0,0.0,0.5,8,5,86,46,2,0,4,S,0.0615384615384615,1
대한항공,2017-10-14,0,백광현,0.0,0.0,0.0,0.0,0.0,0.0,9,6,4,1,0,0,0,Li,0.0,0
대한항공,2017-10-14,0,신영수,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,L,0.0,0
KB손해보험,2017-10-15,1,알렉스,58.82,59.09,40.0,0.0,84.62,0.8,10,9,1,1,8,1,14,L,0.4605263157894737,1
KB손해보험,2017-10-15,1,이강원,45.95,36.36,42.86,0.0,55.56,0.0,3,2,2,0,5,1,7,R,0.2368421052631578,1
KB손해보험,2017-10-15,1,황두연,42.86,20.0,33.33,0.0,66.67,0.2,13,12,2,2,3,0,5,L,0.0921052631578947,1
KB손해보험,2017-10-15,1,이선규,83.33,100.0,0.0,80.0,0.0,0.0,4,4,1,1,18,2,0,C,0.0921052631578947,1
KB손해보험,2017-10-15,1,전진용,60.0,100.0,0.0,50.0,0.0,0.25,0,0,0,0,9,1,4,C,0.0657894736842105,1
KB손해보험,2017-10-15,1,황택의,0.0,0.0,0.0,0.0,0.0,0.8,10,4,101,54,3,0,3,S,0.0526315789473684,1
KB손해보험,2017-10-15,1,손현종,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,1,L,0.0,0
KB손해보험,2017-10-15,1,곽동혁,0.0,0.0,0.0,0.0,0.0,0.0,5,5,4,0,0,0,0,Li,0.0,0
KB손해보험,2017-10-15,1,하현용,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,C,0.0,0
KB손해보험,2017-10-15,1,한기호,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,L,0.0,0
삼성화재,2017-10-15,0,박철우,63.64,50.0,88.89,0.0,66.67,0.2,7,4,3,0,9,1,8,R,0.3382352941176471,1
삼성화재,2017-10-15,0,타이스,50.0,37.5,70.0,0.0,50.0,0.0,5,3,3,1,14,5,8,L,0.3235294117647059,1
삼성화재,2017-10-15,0,김규민,50.0,0.0,0.0,66.67,0.0,0.2,4,2,3,2,15,4,4,C,0.1323529411764706,1
삼성화재,2017-10-15,0,류윤식,83.33,66.67,0.0,0.0,100.0,0.2,7,4,2,1,6,2,3,L,0.1176470588235294,1
삼성화재,2017-10-15,0,박상하,50.0,100.0,0.0,42.86,0.0,0.0,1,1,0,0,9,2,4,C,0.088235294117647,1
삼성화재,2017-10-15,0,황동일,0.0,0.0,0.0,0.0,0.0,0.0,7,7,70,43,10,0,2,S,0.0,1
삼성화재,2017-10-15,0,김강녕,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0,0,0,0,Li,0.0,0
삼성화재,2017-10-15,0,부용찬,0.0,0.0,0.0,0.0,0.0,0.0,7,6,3,0,0,0,0,Li,0.0,0
삼성화재,2017-10-15,0,이민욱,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7,3,0,0,0,S,0.0,0
OK저축은행,2017-10-17,1,브람,57.14,55.56,55.56,0.0,50.0,0.2,8,2,1,0,14,4,11,R,0.3717948717948718,1
OK저축은행,2017-10-17,1,송명근,51.72,70.0,57.14,0.0,36.36,0.6,10,9,7,1,8,2,6,L,0.2564102564102564,1
OK저축은행,2017-10-17,1,송희채,47.06,42.86,0.0,0.0,71.43,0.0,5,5,6,2,14,4,8,L,0.1538461538461538,1
OK저축은행,2017-10-17,1,이민규,33.33,33.33,0.0,0.0,0.0,0.4,10,8,73,42,9,3,2,S,0.0769230769230769,1
OK저축은행,2017-10-17,1,한상길,66.67,100.0,0.0,60.0,0.0,0.0,3,3,0,0,5,1,3,C,0.0641025641025641,1
OK저축은행,2017-10-17,1,박원빈,75.0,0.0,0.0,75.0,0.0,0.0,2,0,0,0,10,1,2,C,0.0512820512820512,1
OK저축은행,2017-10-17,1,김요한,50.0,0.0,0.0,66.67,0.0,0.0,1,1,0,0,3,0,2,C,0.0256410256410256,0
OK저축은행,2017-10-17,1,배인호,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,L,0.0,0
OK저축은행,2017-10-17,1,이강주,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,L,0.0,0
OK저축은행,2017-10-17,1,정성현,0.0,0.0,0.0,0.0,0.0,0.0,8,8,6,2,0,0,0,Li,0.0,0
