팀명,경기날짜,결과,이름,공격종합_성공률,오픈_성공률,퀵오픈_성공률,서브_성공률,디그_시도,디그_성공,세트_시도,세트_성공,블로킹_시도,블로킹_성공,범실_범실,포지션,득점점유율,스타팅멤버,시간차_성공률,이동_성공률,후위_성공률,속공_성공률
IBK기업은행,2017-10-14,0,메디,29.85,26.83,45.45,0.2,24.0,20.0,7.0,0.0,20.0,3.0,7,L,0.3478260869565217,1,,,,
IBK기업은행,2017-10-14,0,고예림,30.0,12.0,60.0,0.6,22.0,17.0,7.0,1.0,10.0,0.0,6,L,0.217391304347826,1,,,,
IBK기업은행,2017-10-14,0,김희진,27.78,20.0,50.0,0.2,12.0,11.0,7.0,0.0,14.0,4.0,6,R,0.217391304347826,1,,,,
IBK기업은행,2017-10-14,0,김미연,31.25,16.67,60.0,0.0,6.0,5.0,3.0,0.0,12.0,2.0,1,L,0.1014492753623188,1,,,,
IBK기업은행,2017-10-14,0,김수지,25.0,0.0,0.0,0.2,11.0,10.0,7.0,0.0,28.0,1.0,3,C,0.0869565217391304,1,,,,
IBK기업은행,2017-10-14,0,이고은,0.0,0.0,0.0,0.2,5.0,4.0,84.0,27.0,3.0,0.0,2,S,0.0144927536231884,0,,,,
IBK기업은행,2017-10-14,0,염혜선,0.0,0.0,0.0,0.0,11.0,10.0,65.0,21.0,7.0,1.0,0,S,0.0144927536231884,1,,,,
IBK기업은행,2017-10-14,0,김혜선,0.0,0.0,0.0,0.0,28.0,25.0,8.0,2.0,0.0,0.0,0,Li,0.0,0,,,,
흥국생명,2017-10-14,1,심슨,41.9,34.0,33.33,0.0,19.0,14.0,6.0,1.0,13.0,4.0,13,L,0.5853658536585366,1,,,,
흥국생명,2017-10-14,1,이재영,24.39,21.88,100.0,0.2,27.0,22.0,4.0,0.0,6.0,2.0,3,L,0.1585365853658536,1,,,,
흥국생명,2017-10-14,1,정시영,30.0,0.0,0.0,0.2,8.0,6.0,6.0,2.0,20.0,4.0,3,R,0.0975609756097561,1,,,,
흥국생명,2017-10-14,1,이한비,21.05,20.0,33.33,0.0,5.0,5.0,1.0,1.0,1.0,0.0,4,L,0.048780487804878,0,,,,
흥국생명,2017-10-14,1,김나희,18.18,0.0,0.0,0.0,5.0,3.0,3.0,0.0,13.0,1.0,1,C,0.0365853658536585,1,,,,
흥국생명,2017-10-14,1,조송화,0.0,0.0,0.0,0.0,19.0,18.0,150.0,50.0,13.0,3.0,3,S,0.0365853658536585,1,,,,
흥국생명,2017-10-14,1,공윤희,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0,R,0.0365853658536585,0,,,,
흥국생명,2017-10-14,1,신연경,0.0,0.0,0.0,0.0,10.0,9.0,4.0,0.0,4.0,0.0,0,L,0.0,1,,,,
흥국생명,2017-10-14,1,김해란,0.0,0.0,0.0,0.0,36.0,32.0,17.0,7.0,0.0,0.0,0,Li,0.0,0,,,,
흥국생명,2017-10-14,1,남지연,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,0,L,0.0,0,,,,
흥국생명,2017-10-14,1,한지현,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0,L,0.0,0,,,,
KGC인삼공사,2017-10-15,0,알레나,38.89,37.7,50.0,0.0,26.0,20.0,11.0,1.0,18.0,2.0,5,R,0.5641025641025641,1,,,,
KGC인삼공사,2017-10-15,0,한송이,32.35,31.25,33.33,0.0,22.0,22.0,10.0,4.0,10.0,2.0,1,L,0.1666666666666666,1,,,,
KGC인삼공사,2017-10-15,0,유희옥,28.57,50.0,0.0,0.2,2.0,2.0,9.0,3.0,11.0,2.0,1,C,0.0641025641025641,1,,,,
KGC인삼공사,2017-10-15,0,최수빈,13.79,9.52,25.0,0.0,20.0,15.0,5.0,2.0,9.0,0.0,3,L,0.0512820512820512,1,,,,
KGC인삼공사,2017-10-15,0,이재은,40.0,40.0,0.0,0.4,18.0,15.0,156.0,51.0,11.0,0.0,2,S,0.0512820512820512,1,,,,
KGC인삼공사,2017-10-15,0,이선정,20.0,20.0,0.0,0.0,7.0,5.0,9.0,1.0,17.0,1.0,1,C,0.0384615384615384,1,,,,
KGC인삼공사,2017-10-15,0,박상미,100.0,100.0,0.0,0.5,3.0,3.0,0.0,0.0,0.0,0.0,0,L,0.0384615384615384,0,,,,
KGC인삼공사,2017-10-15,0,지민경,22.22,28.57,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0,L,0.0256410256410256,0,,,,
KGC인삼공사,2017-10-15,0,오지영,0.0,0.0,0.0,0.0,41.0,31.0,7.0,1.0,0.0,0.0,0,Li,0.0,0,,,,
현대건설,2017-10-15,1,엘리자베스,41.46,36.0,40.0,0.2,22.0,19.0,1.0,0.0,20.0,3.0,8,L,0.3725490196078431,1,,,,
현대건설,2017-10-15,1,황연주,44.19,35.29,53.85,0.2,18.0,17.0,7.0,0.0,8.0,1.0,5,R,0.2058823529411764,1,,,,
현대건설,2017-10-15,1,양효진,43.48,33.33,0.0,0.4,6.0,6.0,3.0,0.0,28.0,4.0,5,C,0.1568627450980392,1,,,,
현대건설,2017-10-15,1,김세영,30.77,0.0,0.0,0.0,3.0,3.0,2.0,1.0,24.0,8.0,1,C,0.1176470588235294,1,,,,
현대건설,2017-10-15,1,황민경,27.03,30.0,27.27,0.0,23.0,20.0,12.0,2.0,11.0,1.0,6,L,0.1078431372549019,1,,,,
현대건설,2017-10-15,1,이다영,0.0,0.0,0.0,0.0,18.0,14.0,157.0,63.0,14.0,3.0,3,S,0.0294117647058823,1,,,,
현대건설,2017-10-15,1,고유민,0.0,0.0,0.0,0.2,4.0,4.0,0.0,0.0,0.0,0.0,1,L,0.0098039215686274,0,,,,
현대건설,2017-10-15,1,김연견,0.0,0.0,0.0,0.0,38.0,34.0,25.0,9.0,0.0,0.0,0,Li,0.0,0,,,,
현대건설,2017-10-15,1,박혜미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0,,,,
한국도로공사,2017-10-17,0,이바나,50.0,53.85,40.0,0.6,10.0,6.0,6.0,1.0,7.0,2.0,9,R,0.3414634146341463,1,,,,
한국도로공사,2017-10-17,0,박정아,34.69,33.33,36.84,0.0,10.0,10.0,1.0,0.0,8.0,0.0,1,L,0.2073170731707317,1,,,,
한국도로공사,2017-10-17,0,정대영,45.45,16.67,0.0,0.2,9.0,8.0,10.0,5.0,16.0,3.0,3,C,0.1707317073170731,1,,,,
한국도로공사,2017-10-17,0,배유나,42.86,25.0,0.0,0.0,6.0,6.0,6.0,1.0,19.0,3.0,3,C,0.1463414634146341,1,,,,
한국도로공사,2017-10-17,0,최은지,35.71,50.0,20.0,0.4,11.0,10.0,6.0,1.0,15.0,1.0,2,L,0.0975609756097561,1,,,,
한국도로공사,2017-10-17,0,이효희,50.0,50.0,0.0,0.2,21.0,17.0,112.0,46.0,8.0,0.0,1,S,0.0365853658536585,1,,,,
한국도로공사,2017-10-17,0,문정원,0.0,0.0,0.0,0.0,12.0,8.0,2.0,1.0,0.0,0.0,2,R,0.0,0,,,,
한국도로공사,2017-10-17,0,유서연,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1,L,0.0,0,,,,
한국도로공사,2017-10-17,0,임명옥,0.0,0.0,0.0,0.0,30.0,22.0,17.0,5.0,0.0,0.0,0,Li,0.0,0,,,,
한국도로공사,2017-10-17,0,정선아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,C,0.0,0,,,,
GS칼텍스,2017-10-17,1,강소휘,44.68,29.41,52.38,0.6,14.0,12.0,2.0,1.0,6.0,0.0,7,L,0.2727272727272727,1,,,,
